No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team
63,花田　侑樹,投手,2003/06/25,21歳,3年,181cm,74kg,AB型,右左,広島,450万円,巨人
64,大江　竜聖,投手,1999/01/15,25歳,8年,173cm,82kg,A型,左左,神奈川,"2,800万円",巨人
65,メンデス,投手,1995/01/17,29歳,2年,196cm,104kg,不明,左左,ベネズエラ,"10,000万円",巨人
66,平内　龍太,投手,1998/08/01,26歳,4年,185cm,99kg,A型,右右,兵庫,"2,300万円",巨人
67,山瀬　慎之助,捕手,2001/05/04,23歳,5年,177cm,89kg,B型,右右,石川,670万円,巨人
68,代木　大和,投手,2003/09/08,21歳,3年,184cm,92kg,O型,左左,愛媛,730万円,巨人
69,萩原　哲,捕手,1998/05/01,26歳,4年,175cm,85kg,AB型,右左,京都,620万円,巨人
90,山田　龍聖,投手,2000/09/07,24歳,3年,183cm,82kg,B型,左左,富山,"1,000万円",巨人
91,堀田　賢慎,投手,2001/05/21,23歳,5年,186cm,88kg,O型,右右,岩手,630万円,巨人
93,松井　颯,投手,2000/09/14,24歳,2年,178cm,83kg,A型,右右,東京,660万円,巨人
94,喜多　隆介,捕手,1998/08/25,26歳,4年,179cm,83kg,A型,右右,石川,630万円,巨人
95,中田　歩夢,内野手,2004/06/27,20歳,2年,172cm,77kg,A型,右右,青森,380万円,巨人
96,菊地　大稀,投手,1999/06/02,25歳,3年,186cm,89kg,O型,右左,新潟,"3,000万円",巨人
97,井上　温大,投手,2001/05/13,23歳,5年,175cm,78kg,B型,左左,群馬,670万円,巨人
98,ウレーニャ,内野手,1999/05/27,25歳,5年,183cm,79kg,不明,右右,ドミニカ共和国,650万円,巨人
99,京本　眞,投手,2004/02/06,20歳,3年,189cm,80kg,A型,右右,大阪,420万円,巨人
0,尾田　剛樹,外野手,2000/08/03,24歳,1年,175cm,74kg,A型,左左,兵庫,300万円,中日
1,岡林　勇希,外野手,2002/02/22,22歳,5年,175cm,75kg,O型,右左,三重,"7,300万円",中日
2,田中　幹也,内野手,2000/11/28,24歳,2年,166cm,68kg,O型,右右,神奈川,655万円,中日
3,高橋　周平,内野手,1994/01/18,30歳,13年,180cm,90kg,O型,右左,神奈川,"6,750万円",中日
4,鵜飼　航丞,外野手,1999/05/30,25歳,3年,182cm,100kg,O型,右右,愛知,"1,350万円",中日
5,村松　開人,内野手,2001/01/06,23歳,2年,171cm,80kg,B型,右左,静岡,"1,700万円",中日
6,中田　翔,内野手,1989/04/22,35歳,17年,184cm,107kg,O型,右右,広島,"30,000万円",中日
7,根尾　昂,投手,2000/04/19,24歳,6年,177cm,84kg,O型,右左,岐阜,"1,600万円",中日
8,大島　洋平,外野手,1985/11/09,39歳,15年,176cm,75kg,A型,左左,愛知,"25,000万円",中日
9,中島　宏之,内野手,1982/07/31,42歳,22年,180cm,90kg,A型,右右,兵庫,"2,000万円",中日
11,小笠原　慎之介,投手,1997/10/08,27歳,9年,180cm,93kg,A型,左左,神奈川,"9,300万円",中日
12,田島　慎二,投手,1989/12/21,35歳,13年,181cm,87kg,B型,右右,愛知,"3,500万円",中日
13,橋本　侑樹,投手,1998/01/08,26歳,5年,180cm,75kg,A型,左左,福井,"1,200万円",中日
14,草加　勝,投手,2001/11/21,23歳,1年,182cm,75kg,A型,右右,岡山,"1,600万円",中日
16,岩嵜　翔,投手,1989/10/21,35歳,17年,189cm,90kg,O型,右右,千葉,"2,800万円",中日
17,柳　裕也,投手,1994/04/22,30歳,8年,180cm,85kg,A型,右右,宮崎,"14,800万円",中日
18,梅津　晃大,投手,1996/10/24,28歳,6年,187cm,95kg,B型,右右,宮城,"1,000万円",中日
19,髙橋　宏斗,投手,2002/08/09,22歳,4年,186cm,86kg,AB型,右右,愛知,"6,300万円",中日
20,涌井　秀章,投手,1986/06/21,38歳,20年,185cm,85kg,A型,右右,千葉,"10,000万円",中日
22,大野　雄大,投手,1988/09/26,36歳,14年,184cm,85kg,O型,左左,京都,"30,000万円",中日
24,福谷　浩司,投手,1991/01/09,33歳,12年,183cm,93kg,B型,右右,愛知,"2,000万円",中日
25,石川　昂弥,内野手,2001/06/22,23歳,5年,186cm,100kg,O型,右右,愛知,"3,000万円",中日
26,石森　大誠,投手,1997/12/03,27歳,3年,178cm,83kg,O型,左左,石川,780万円,中日
27,津田　啓史,内野手,2002/11/23,22歳,1年,181cm,88kg,O型,右右,熊本,"1,200万円",中日
28,森　博人,投手,1998/05/25,26歳,4年,177cm,84kg,O型,右右,愛知,"1,150万円",中日
29,辻本　倫太郎,内野手,2001/08/11,23歳,1年,168cm,73kg,A型,右右,北海道,900万円,中日
30,三好　大倫,外野手,1997/09/28,27歳,4年,179cm,83kg,O型,左左,香川,860万円,中日
31,仲地　礼亜,投手,2001/02/15,23歳,2年,177cm,83kg,O型,右右,沖縄,"1,500万円",中日
32,石垣　雅海,内野手,1998/09/21,26歳,8年,181cm,88kg,B型,右右,山形,950万円,中日
33,祖父江　大輔,投手,1987/08/11,37歳,11年,175cm,75kg,B型,右左,愛知,"10,000万円",中日
34,福　敬登,投手,1992/06/16,32歳,9年,181cm,98kg,O型,左左,兵庫,"4,300万円",中日
35,木下　拓哉,捕手,1991/12/18,33歳,9年,183cm,95kg,B型,右右,高知,"6,800万円",中日
36,福田　幸之介,投手,2005/08/11,19歳,1年,181cm,84kg,A型,左左,大阪,600万円,中日
37,濱　将乃介,外野手,2000/05/03,24歳,2年,181cm,81kg,O型,右左,大阪,673万円,中日
38,松葉　貴大,投手,1990/08/14,34歳,12年,179cm,82kg,B型,左左,兵庫,"5,000万円",中日
39,宇佐見　真吾,捕手,1993/06/04,31歳,9年,181cm,88kg,O型,右左,千葉,"4,100万円",中日
41,勝野　昌慶,投手,1997/06/12,27歳,6年,181cm,89kg,O型,右右,岐阜,"4,000万円",中日
42,ブライト　健太,外野手,1999/05/07,25歳,3年,184cm,88kg,A型,右右,東京,"1,350万円",中日
43,味谷　大誠,捕手,2003/06/14,21歳,3年,180cm,85kg,A型,右左,大阪,640万円,中日
44,川越　誠司,外野手,1993/06/30,31歳,9年,174cm,80kg,A型,左左,北海道,"1,375万円",中日
45,龍空,内野手,2002/12/30,22歳,4年,180cm,77kg,A型,右左,滋賀,"1,900万円",中日
46,梅野　雄吾,投手,1999/01/13,25歳,8年,175cm,84kg,A型,右右,福岡,"2,800万円",中日
47,砂田　毅樹,投手,1995/07/20,29歳,11年,180cm,80kg,B型,左左,北海道,"3,800万円",中日
48,土生　翔太,投手,2001/03/10,23歳,1年,180cm,93kg,A型,右右,神奈川,720万円,中日
49,加藤　匠馬,捕手,1992/04/29,32歳,10年,175cm,83kg,B型,右右,三重,"1,500万円",中日
50,清水　達也,投手,1999/11/03,25歳,7年,184cm,90kg,AB型,右右,埼玉,"5,000万円",中日
51,上林　誠知,外野手,1995/08/01,29歳,11年,185cm,90kg,O型,右左,埼玉,"2,000万円",中日
52,加藤　翔平,外野手,1991/03/28,33歳,12年,183cm,90kg,AB型,右両,埼玉,"2,300万円",中日
53,後藤　駿太,外野手,1993/03/05,31歳,14年,180cm,85kg,A型,右左,群馬,"2,100万円",中日
54,藤嶋　健人,投手,1998/05/08,26歳,8年,177cm,85kg,O型,右右,愛知,"7,000万円",中日
55,細川　成也,外野手,1998/08/04,26歳,8年,179cm,98kg,AB型,右右,神奈川,"4,500万円",中日
57,山浅　龍之介,捕手,2004/04/21,20歳,2年,175cm,82kg,B型,右左,秋田,610万円,中日
58,石橋　康太,捕手,2000/12/07,24歳,6年,181cm,94kg,A型,右右,千葉,"1,250万円",中日
59,齋藤　綱記,投手,1996/12/18,28歳,10年,182cm,91kg,O型,左左,北海道,"2,300万円",中日
60,山本　泰寛,内野手,1993/10/10,31歳,9年,176cm,76kg,B型,右右,東京,"1,600万円",中日
63,板山　祐太郎,外野手,1994/03/27,30歳,9年,180cm,88kg,B型,右左,神奈川,850万円,中日
64,福島　章太,投手,2002/10/24,22歳,4年,177cm,92kg,AB型,左左,岡山,575万円,中日
66,ビシエド,内野手,1989/03/10,35歳,9年,185cm,108kg,不明,右右,キューバ,"35,000万円",中日
67,上田　洸太朗,投手,2002/09/06,22歳,4年,184cm,91kg,O型,左左,富山,857万円,中日
68,福永　裕基,内野手,1996/09/16,28歳,2年,180cm,85kg,AB型,右右,滋賀,"1,440万円",中日
69,松木平　優太,投手,2003/02/24,21歳,4年,178cm,78kg,O型,右右,大阪,339万円,中日
90,松山　晋也,投手,2000/06/23,24歳,2年,188cm,92kg,O型,右右,青森,"1,750万円",中日
91,メヒア,投手,1997/03/03,27歳,2年,193cm,104kg,不明,右右,パナマ,"10,000万円",中日
92,マルティネス,投手,1996/10/11,28歳,8年,193cm,93kg,不明,右左,キューバ,"20,000万円",中日
93,フェリス,投手,1993/06/28,31歳,2年,195cm,111kg,不明,右右,ドミニカ共和国,"10,000万円",中日
94,ディカーソン,外野手,1990/05/26,34歳,1年,190cm,104kg,不明,左左,アメリカ,"7,000万円",中日
95,ロドリゲス,内野手,2002/03/31,22歳,1年,184cm,74kg,不明,右右,キューバ,"1,000万円",中日
96,加藤　竜馬,投手,1999/05/13,25歳,1年,185cm,100kg,A型,右両,岡山,720万円,中日
97,樋口　正修,内野手,1998/11/17,26歳,2年,177cm,75kg,A型,右左,埼玉,476万円,中日
99,カリステ,内野手,1992/02/03,32歳,2年,184cm,87kg,不明,右右,ドミニカ共和国,"5,000万円",中日
201,竹内　龍臣,投手,2001/12/11,23歳,5年,180cm,85kg,A型,右右,北海道,491万円,中日
202,アルバレス,投手,1999/01/16,25歳,3年,192cm,92kg,不明,右右,キューバ,"1,000万円",中日
204,加藤　翼,投手,2002/12/14,22歳,4年,179cm,80kg,A型,右右,岐阜,515万円,中日
205,垣越　建伸,投手,2000/04/03,24歳,6年,185cm,100kg,B型,左左,岐阜,514万円,中日
207,星野　真生,内野手,2003/12/01,21歳,3年,176cm,78kg,B型,右右,愛知,540万円,中日
208,石川　翔,投手,1999/12/14,25歳,7年,180cm,89kg,B型,右左,東京,501万円,中日
209,福元　悠真,外野手,1999/12/01,25歳,3年,180cm,85kg,O型,右右,奈良,670万円,中日
210,岡田　俊哉,投手,1991/12/05,33歳,15年,178cm,69kg,A型,左左,和歌山,"1,000万円",中日
212,野中　天翔,投手,2005/02/05,19歳,2年,180cm,83kg,O型,左左,和歌山,300万円,中日
213,森山　暁生,投手,2005/01/11,19歳,2年,183cm,84kg,O型,左左,徳島,600万円,中日
214,近藤　廉,投手,1998/09/22,26歳,4年,180cm,87kg,A型,左左,東京,490万円,中日
215,日渡　騰輝,捕手,2004/09/20,20歳,1年,173cm,89kg,O型,右左,茨城,300万円,中日
216,菊田　翔友,投手,2003/09/25,21歳,1年,182cm,88kg,AB型,右右,愛知,300万円,中日
218,川上　理偉,内野手,2001/03/10,23歳,1年,178cm,85kg,AB型,右右,大分,300万円,中日
220,モニエル,外野手,2001/04/17,23歳,1年,190cm,106kg,不明,右右,キューバ,"1,000万円",中日
0,上本　崇司,内野手,1990/08/22,34歳,12年,170cm,76kg,A型,右右,広島,"4,100万円",広島
0,曽根　海成,内野手,1995/04/24,29歳,11年,175cm,73kg,A型,右左,大阪,"1,400万円",広島
2,田中　広輔,内野手,1989/07/03,35歳,11年,171cm,85kg,A型,右左,神奈川,"5,000万円",広島
7,堂林　翔太,内野手,1991/08/17,33歳,15年,184cm,96kg,A型,右右,愛知,"6,400万円",広島
9,秋山　翔吾,外野手,1988/04/16,36歳,12年,184cm,86kg,A型,右左,神奈川,"15,000万円",広島
10,レイノルズ,内野手,1990/12/03,34歳,1年,185cm,95kg,不明,右右,アメリカ,"8,250万円",広島
11,九里　亜蓮,投手,1991/09/01,33歳,11年,188cm,97kg,A型,右右,鳥取,"14,000万円",広島
12,大道　温貴,投手,1999/01/20,25歳,4年,180cm,88kg,O型,右右,埼玉,"3,000万円",広島
13,森浦　大輔,投手,1998/06/15,26歳,4年,175cm,72kg,O型,左左,和歌山,"3,500万円",広島
14,大瀬良　大地,投手,1991/06/17,33歳,11年,188cm,94kg,AB型,右右,長崎,"18,000万円",広島
16,森　翔平,投手,1998/01/01,26歳,3年,177cm,82kg,O型,左左,鳥取,"1,800万円",広島
17,常廣　羽也斗,投手,2001/09/18,23歳,1年,180cm,77kg,O型,右右,大分,"1,600万円",広島
18,森下　暢仁,投手,1997/08/25,27歳,5年,180cm,81kg,O型,右右,大分,"13,000万円",広島
19,野村　祐輔,投手,1989/06/24,35歳,13年,177cm,85kg,AB型,右右,岡山,"4,450万円",広島
20,栗林　良吏,投手,1996/07/09,28歳,4年,177cm,87kg,A型,右右,愛知,"11,500万円",広島
21,中﨑　翔太,投手,1992/08/10,32歳,14年,187cm,100kg,B型,右右,鹿児島,"5,500万円",広島
22,髙　太一,投手,2001/07/26,23歳,1年,179cm,83kg,O型,左左,愛媛,"1,200万円",広島
24,黒原　拓未,投手,1999/11/29,25歳,3年,173cm,78kg,A型,左左,和歌山,"1,400万円",広島
26,益田　武尚,投手,1998/10/06,26歳,2年,174cm,88kg,O型,右右,福岡,"1,200万円",広島
27,會澤　翼,捕手,1988/04/13,36歳,18年,175cm,95kg,B型,右右,茨城,"11,000万円",広島
28,床田　寛樹,投手,1995/03/01,29歳,8年,181cm,94kg,A型,左左,兵庫,"10,000万円",広島
29,ケムナ　誠,投手,1995/06/05,29歳,7年,190cm,96kg,B型,右右,アメリカ,"2,700万円",広島
30,滝田　一希,投手,2001/12/28,23歳,1年,183cm,83kg,A型,左左,北海道,"1,000万円",広島
31,坂倉　将吾,捕手,1998/05/29,26歳,8年,177cm,89kg,A型,右左,千葉,"12,500万円",広島
32,石原　貴規,捕手,1998/02/03,26歳,5年,173cm,85kg,A型,右右,兵庫,"1,000万円",広島
33,菊池　涼介,内野手,1990/03/11,34歳,13年,171cm,71kg,A型,右右,東京,"25,000万円",広島
34,高橋　昂也,投手,1998/09/27,26歳,8年,182cm,95kg,A型,左左,埼玉,800万円,広島
35,赤塚　健利,投手,2001/07/01,23歳,1年,195cm,118kg,O型,右右,静岡,700万円,広島
36,塹江　敦哉,投手,1997/02/21,27歳,10年,178cm,90kg,A型,左左,香川,"2,100万円",広島
37,野間　峻祥,外野手,1993/01/28,31歳,10年,182cm,85kg,B型,右左,兵庫,"6,800万円",広島
38,宇草　孔基,外野手,1997/04/17,27歳,5年,185cm,84kg,O型,右左,東京,900万円,広島
39,長谷部　銀次,投手,1998/07/29,26歳,2年,184cm,84kg,A型,左左,愛知,800万円,広島
40,磯村　嘉孝,捕手,1992/11/01,32歳,14年,178cm,91kg,A型,右右,愛知,"2,600万円",広島
41,矢崎　拓也,投手,1994/12/31,30歳,8年,176cm,99kg,O型,右右,東京,"5,600万円",広島
42,ハッチ,投手,1994/09/29,30歳,1年,185cm,88kg,不明,右右,アメリカ,"12,400万円",広島
43,島内　颯太郎,投手,1996/10/14,28歳,6年,180cm,84kg,O型,右右,福岡,"7,000万円",広島
44,林　晃汰,内野手,2000/11/16,24歳,6年,181cm,100kg,O型,右左,和歌山,"1,150万円",広島
45,松本　竜也,投手,1999/09/18,25歳,3年,178cm,103kg,A型,右右,奈良,"1,400万円",広島
46,河野　佳,投手,2001/08/23,23歳,2年,175cm,86kg,O型,右右,兵庫,700万円,広島
47,斉藤　優汰,投手,2004/05/27,20歳,2年,189cm,94kg,O型,右左,北海道,800万円,広島
48,アドゥワ　誠,投手,1998/10/02,26歳,8年,196cm,84kg,O型,右右,熊本,"1,200万円",広島
49,戸根　千明,投手,1992/10/17,32歳,10年,174cm,102kg,A型,左左,京都,"1,900万円",広島
50,中村　健人,外野手,1997/05/21,27歳,3年,183cm,97kg,O型,右右,愛知,"1,300万円",広島
51,小園　海斗,内野手,2000/06/07,24歳,6年,178cm,91kg,AB型,右左,兵庫,"5,400万円",広島
52,末包　昇大,外野手,1996/05/27,28歳,3年,188cm,112kg,O型,右右,香川,"2,500万円",広島
53,小林　樹斗,投手,2003/01/16,21歳,4年,182cm,88kg,O型,右右,和歌山,550万円,広島
54,韮澤　雄也,内野手,2001/05/20,23歳,5年,175cm,85kg,AB型,右左,新潟,800万円,広島
55,松山　竜平,外野手,1985/09/18,39歳,17年,176cm,96kg,B型,右左,鹿児島,"6,500万円",広島
56,久保　修,外野手,2000/09/29,24歳,2年,181cm,83kg,A型,右右,大阪,600万円,広島
57,持丸　泰輝,捕手,2001/10/26,23歳,5年,177cm,90kg,A型,右左,北海道,550万円,広島
58,仲田　侑仁,内野手,2005/07/31,19歳,1年,187cm,105kg,AB型,右右,沖縄,500万円,広島
59,大盛　穂,外野手,1996/08/31,28歳,6年,179cm,80kg,A型,右左,大阪,"1,500万円",広島
60,田村　俊介,外野手,2003/08/25,21歳,3年,178cm,97kg,O型,左左,京都,700万円,広島
61,矢野　雅哉,内野手,1998/12/16,26歳,4年,171cm,71kg,A型,右左,大阪,"1,750万円",広島
62,清水　叶人,捕手,2004/07/06,20歳,2年,176cm,91kg,B型,右左,群馬,500万円,広島
63,内田　湘大,内野手,2004/09/22,20歳,2年,183cm,97kg,A型,右右,長野,600万円,広島
64,髙木　翔斗,捕手,2003/08/12,21歳,3年,188cm,93kg,O型,右右,岐阜,500万円,広島
65,玉村　昇悟,投手,2001/04/16,23歳,5年,179cm,85kg,A型,左左,福井,"1,600万円",広島
66,遠藤　淳志,投手,1999/04/08,25歳,7年,186cm,89kg,O型,右右,茨城,"2,500万円",広島
67,内間　拓馬,投手,1998/11/21,26歳,4年,179cm,86kg,A型,右右,沖縄,700万円,広島
68,ハーン,投手,1994/08/30,30歳,1年,198cm,104kg,不明,左左,アメリカ,"8,760万円",広島
69,羽月　隆太郎,内野手,2000/04/19,24歳,6年,168cm,73kg,O型,右左,宮崎,"1,700万円",広島
70,日髙　暖己,投手,2004/09/16,20歳,2年,183cm,74kg,O型,右左,宮崎,450万円,広島
93,岡田　明丈,投手,1993/10/18,31歳,9年,184cm,96kg,AB型,右左,東京,800万円,広島
94,佐藤　啓介,内野手,2001/05/24,23歳,1年,182cm,95kg,A型,右左,愛知,300万円,広島
95,シャイナー,内野手,1995/08/13,29歳,1年,185cm,90kg,不明,右右,アメリカ,"12,000万円",広島
96,中村　奨成,外野手,1999/06/06,25歳,7年,181cm,84kg,B型,右右,広島,750万円,広島
97,中村　貴浩,外野手,2000/04/09,24歳,2年,177cm,87kg,A型,右左,福岡,700万円,広島
98,コルニエル,投手,1995/06/23,29歳,5年,194cm,103kg,不明,右右,ドミニカ共和国,"3,740万円",広島
99,二俣　翔一,内野手,2002/10/21,22歳,4年,180cm,74kg,AB型,右右,静岡,500万円,広島
120,杉田　健,投手,2001/08/28,23歳,1年,188cm,83kg,A型,右右,静岡,300万円,広島
121,名原　典彦,外野手,2000/06/24,24歳,2年,182cm,80kg,B型,右右,広島,350万円,広島
122,坂田　怜,投手,1999/09/13,25歳,3年,188cm,91kg,O型,右右,埼玉,350万円,広島
125,辻　大雅,投手,2004/08/29,20歳,2年,182cm,82kg,A型,左左,神奈川,325万円,広島
126,新家　颯,投手,2003/08/14,21歳,3年,182cm,83kg,不明,左左,和歌山,350万円,広島
127,前川　誠太,内野手,2003/04/04,21歳,3年,176cm,69kg,AB型,右右,京都,350万円,広島
128,杉原　望来,投手,2005/09/23,19歳,1年,175cm,74kg,A型,左左,大阪,250万円,広島
129,藤井　黎來,投手,1999/09/17,25歳,7年,182cm,90kg,A型,右右,秋田,500万円,広島
130,ラミレス,内野手,2002/02/01,22歳,1年,191cm,124kg,不明,右右,ドミニカ共和国,230万円,広島
131,ロベルト,外野手,2000/10/27,24歳,1年,191cm,104kg,不明,右右,ドミニカ共和国,230万円,広島
0,並木　秀尊,外野手,1999/03/23,25歳,4年,170cm,72kg,B型,右右,埼玉,"1,500万円",ヤクルト
0,赤羽　由紘,内野手,2000/06/29,24歳,4年,176cm,83kg,B型,右右,長野,700万円,ヤクルト
1,山田　哲人,内野手,1992/07/16,32歳,14年,181cm,81kg,O型,右右,兵庫,"50,000万円",ヤクルト
3,西川　遥輝,外野手,1992/04/16,32歳,14年,181cm,82kg,A型,右左,和歌山,"1,600万円",ヤクルト
4,丸山　和郁,外野手,1999/07/18,25歳,3年,174cm,80kg,B型,左左,群馬,"1,600万円",ヤクルト
5,川端　慎吾,内野手,1987/10/16,37歳,19年,185cm,86kg,O型,右左,大阪,"3,000万円",ヤクルト
7,長岡　秀樹,内野手,2001/09/26,23歳,5年,175cm,82kg,A型,右左,千葉,"4,100万円",ヤクルト
9,塩見　泰隆,外野手,1993/06/12,31歳,7年,180cm,81kg,B型,右右,神奈川,"7,100万円",ヤクルト
10,宮本　丈,内野手,1995/04/03,29歳,7年,181cm,82kg,B型,右左,大阪,"2,200万円",ヤクルト
12,石山　泰稚,投手,1988/09/01,36歳,12年,182cm,83kg,A型,右右,秋田,"15,000万円",ヤクルト
12,近藤　弘樹,投手,1995/06/27,29歳,7年,186cm,103kg,B型,右右,広島,600万円,ヤクルト
13,オスナ,内野手,1992/12/12,32歳,4年,188cm,106kg,不明,右右,ベネズエラ,"30,000万円",ヤクルト
13,嘉手苅　浩太,投手,2002/12/26,22歳,4年,193cm,105kg,A型,右右,兵庫,400万円,ヤクルト
14,西舘　昂汰,投手,2001/06/09,23歳,1年,189cm,94kg,不明,右右,福岡,"1,600万円",ヤクルト
15,沼田　翔平,投手,2000/06/24,24歳,6年,175cm,80kg,AB型,右右,北海道,430万円,ヤクルト
15,山下　輝,投手,1999/09/12,25歳,3年,188cm,98kg,B型,左左,千葉,"1,050万円",ヤクルト
16,原　樹理,投手,1993/07/19,31歳,9年,180cm,79kg,A型,右右,兵庫,"3,000万円",ヤクルト
17,清水　昇,投手,1996/10/15,28歳,6年,180cm,95kg,A型,右左,東京,"13,000万円",ヤクルト
17,翔聖,投手,2005/12/17,19歳,1年,187cm,81kg,不明,右右,台湾,280万円,ヤクルト
18,奥川　恭伸,投手,2001/04/16,23歳,5年,184cm,82kg,O型,右右,石川,"2,100万円",ヤクルト
19,石川　雅規,投手,1980/01/22,44歳,23年,167cm,73kg,A型,左左,秋田,"6,750万円",ヤクルト
19,下　慎之介,投手,2002/06/18,22歳,4年,184cm,90kg,B型,左左,群馬,300万円,ヤクルト
20,木澤　尚文,投手,1998/04/25,26歳,4年,183cm,90kg,O型,右右,千葉,"5,200万円",ヤクルト
21,吉村　貢司郎,投手,1998/01/19,26歳,2年,183cm,85kg,B型,右右,東京,"2,100万円",ヤクルト
23,青木　宣親,外野手,1982/01/05,42歳,15年,175cm,80kg,A型,右左,宮崎,"14,000万円",ヤクルト
24,星　知弥,投手,1994/04/15,30歳,8年,183cm,91kg,O型,右右,栃木,"3,000万円",ヤクルト
25,フェリペ,捕手,1999/09/04,25歳,6年,176cm,81kg,O型,右右,静岡,300万円,ヤクルト
25,サンタナ,外野手,1992/08/05,32歳,4年,195cm,104kg,不明,右右,ドミニカ共和国,"36,750万円",ヤクルト
26,髙野　颯太,内野手,2005/07/28,19歳,1年,176cm,90kg,A型,右右,島根,280万円,ヤクルト
26,山野　太一,投手,1999/03/24,25歳,4年,173cm,81kg,B型,左左,山口,900万円,ヤクルト
27,中村　悠平,捕手,1990/06/17,34歳,16年,176cm,79kg,A型,右右,福井,"17,000万円",ヤクルト
28,松本　健吾,投手,1999/04/14,25歳,1年,180cm,83kg,B型,右右,東京,"1,500万円",ヤクルト
29,小川　泰弘,投手,1990/05/16,34歳,12年,172cm,82kg,A型,右右,愛知,"16,000万円",ヤクルト
30,西田　明央,捕手,1992/04/28,32歳,14年,178cm,98kg,AB型,右右,京都,"1,800万円",ヤクルト
31,山崎　晃大朗,外野手,1993/08/11,31歳,9年,174cm,74kg,O型,左左,和歌山,"3,300万円",ヤクルト
32,松本　直樹,捕手,1993/10/17,31歳,7年,177cm,82kg,A型,右右,香川,950万円,ヤクルト
33,内山　壮真,捕手,2002/06/30,22歳,4年,172cm,76kg,O型,右右,富山,"2,600万円",ヤクルト
34,田口　麗斗,投手,1995/09/14,29歳,11年,171cm,79kg,B型,左左,広島,"17,500万円",ヤクルト
35,石原　勇輝,投手,2001/08/30,23歳,1年,180cm,87kg,B型,左左,広島,900万円,ヤクルト
36,西村　瑠伊斗,内野手,2004/07/01,20歳,2年,178cm,80kg,B型,右左,京都,670万円,ヤクルト
37,ロドリゲス,投手,1998/03/31,26歳,2年,195cm,93kg,不明,右右,ドミニカ共和国,"11,250万円",ヤクルト
38,北村　拓己,内野手,1995/08/29,29歳,7年,181cm,90kg,A型,右右,石川,"1,700万円",ヤクルト
39,エスパーダ,投手,1997/02/22,27歳,1年,183cm,77kg,不明,右右,プエルトリコ,"9,800万円",ヤクルト
40,高梨　裕稔,投手,1991/06/05,33歳,11年,188cm,94kg,B型,右右,千葉,"3,500万円",ヤクルト
41,柴田　大地,投手,1997/11/07,27歳,3年,180cm,94kg,O型,右右,東京,"1,000万円",ヤクルト
42,澤井　廉,外野手,2000/05/31,24歳,2年,180cm,94kg,O型,左左,愛知,950万円,ヤクルト
43,山本　大貴,投手,1995/11/10,29歳,7年,184cm,98kg,B型,左左,北海道,"1,500万円",ヤクルト
44,大西　広樹,投手,1997/11/08,27歳,5年,175cm,92kg,O型,右右,奈良,"3,200万円",ヤクルト
45,小澤　怜史,投手,1998/03/09,26歳,9年,182cm,87kg,A型,右左,静岡,"3,000万円",ヤクルト
46,太田　賢吾,内野手,1997/01/19,27歳,10年,186cm,87kg,A型,右左,埼玉,"1,400万円",ヤクルト
47,高橋　奎二,投手,1997/05/14,27歳,9年,180cm,83kg,O型,左左,京都,"4,800万円",ヤクルト
48,金久保　優斗,投手,1999/11/04,25歳,7年,185cm,87kg,O型,右左,千葉,900万円,ヤクルト
49,嘉弥真　新也,投手,1989/11/23,35歳,13年,172cm,72kg,O型,左左,沖縄,"2,000万円",ヤクルト
50,北村　恵吾,内野手,2000/12/18,24歳,2年,182cm,90kg,O型,右右,岐阜,900万円,ヤクルト
51,濱田　太貴,外野手,2000/09/04,24歳,6年,177cm,81kg,A型,右右,福岡,"2,000万円",ヤクルト
52,尾仲　祐哉,投手,1995/01/31,29歳,8年,173cm,75kg,O型,右左,福岡,700万円,ヤクルト
53,長谷川　宙輝,投手,1998/08/23,26歳,8年,176cm,86kg,O型,左左,東京,750万円,ヤクルト
54,サイスニード,投手,1992/10/01,32歳,4年,193cm,97kg,不明,右右,アメリカ,"23,250万円",ヤクルト
55,村上　宗隆,内野手,2000/02/02,24歳,7年,188cm,97kg,O型,右左,熊本,"60,000万円",ヤクルト
56,坂本　拓己,投手,2004/07/06,20歳,2年,180cm,85kg,A型,左左,北海道,520万円,ヤクルト
57,古賀　優大,捕手,1998/08/07,26歳,8年,177cm,83kg,B型,右右,福岡,"1,800万円",ヤクルト
58,阪口　皓亮,投手,1999/08/15,25歳,7年,188cm,90kg,O型,右左,大阪,850万円,ヤクルト
59,小森　航大郎,内野手,2003/04/30,21歳,3年,173cm,83kg,A型,右右,福岡,540万円,ヤクルト
60,武岡　龍世,内野手,2001/05/28,23歳,5年,179cm,77kg,O型,右左,徳島,"1,100万円",ヤクルト
61,宮川　哲,投手,1995/10/10,29歳,5年,177cm,86kg,O型,右右,奈良,"2,000万円",ヤクルト
62,竹山　日向,投手,2003/11/02,21歳,3年,182cm,86kg,B型,右右,愛知,580万円,ヤクルト
63,増田　珠,内野手,1999/05/21,25歳,7年,179cm,85kg,O型,右右,長崎,600万円,ヤクルト
64,岩田　幸宏,外野手,1997/07/31,27歳,3年,175cm,79kg,A型,左左,兵庫,320万円,ヤクルト
65,鈴木　叶,捕手,2006/03/21,18歳,1年,181cm,81kg,O型,右右,静岡,550万円,ヤクルト
66,三ツ俣　大樹,内野手,1992/05/11,32歳,14年,178cm,88kg,O型,右右,東京,800万円,ヤクルト
